id,species,genotype,site,subsystem,tank,rack,qty
,PS,PS7,Mote Islamorada [In Situ],,,Red84,173
,PC,PC38,Mote Looe Key [In Situ],,,PC-38,168
,OA,OA9,Mote Looe Key [In Situ],,,OA-9,158
,MC,MC95,Mote Looe Key [In Situ],,,MC-94,112
,MC,MC95,Mote Looe Key [In Situ],,,MC-95,112
,OF,OF934,Mote Islamorada [In Situ],,,Red94,110
,OF,OF1008,Mote Islamorada [In Situ],,,Blue05,108
,AC,AC2580,Mote Looe Key [In Situ],,,FM-18,100
,AC,AC2603,Mote Looe Key [In Situ],,,NB-4,100
,AC,AC2616,Mote Looe Key [In Situ],,,NB-5a,100
,AC,AC2603,Mote Looe Key [In Situ],,,NB-4,100
,AC,AC2627,Mote Looe Key [In Situ],,,RD-2,100
,AC,AC2627,Mote Looe Key [In Situ],,,RD-2,100
,AC,AC2638,Mote Looe Key [In Situ],,,RD-30,100
,AC,AC2635,Mote Looe Key [In Situ],,,RD-16,100
,AC,AC31,Mote Looe Key [In Situ],,,31,100
,AC,AC10,Mote Looe Key [In Situ],,,X,100
,AC,AC31,Mote Looe Key [In Situ],,,X,100
,AC,AC10,Mote Looe Key [In Situ],,,10,100
,AC,AC3,Mote Looe Key [In Situ],,,3,100
,AC,AC51,Mote Looe Key [In Situ],,,51,100
,AC,AC36,Mote Looe Key [In Situ],,,36,100
,AC,AC34,Mote Looe Key [In Situ],,,34,100
,AC,AC80,Mote Looe Key [In Situ],,,80,100
,AC,AC84,Mote Looe Key [In Situ],,,84,100
,AC,AC80,Mote Looe Key [In Situ],,,80,100
,AC,AC75,Mote Looe Key [In Situ],,,75,100
,AC,AC62,Mote Looe Key [In Situ],,,62,100
,AC,AC58,Mote Looe Key [In Situ],,,58,100
,AC,AC1962,Mote Looe Key [In Situ],,,1962,100
,AC,AC1287,Mote Looe Key [In Situ],,,1287,100
,AC,AC2627,Mote Sand Key [In Situ],,,RD-2,100
,AC,AC31,Mote Sand Key [In Situ],,,31,100
,AC,AC80,Mote Sand Key [In Situ],,,80,100
,AC,AC10,Mote Sand Key [In Situ],,,10,100
,AC,AC2603,Mote Sand Key [In Situ],,,NB-4,100
,AC,AC51,Mote Sand Key [In Situ],,,51,100
,AC,AC62,Mote Sand Key [In Situ],,,62,100
,AC,AC5,Mote Islamorada [In Situ],,,Red24,100
,AC,AC5,Mote Islamorada [In Situ],,,Red34,100
,AC,AC20,Mote Key Largo [In Situ],,,Red03,100
,AC,AC3,Mote Key Largo [In Situ],,,Red04,100
,AC,AC76,Mote Key Largo [In Situ],,,Red05,100
,AC,AC20,Mote Key Largo [In Situ],,,Blue13,100
,AC,AC3,Mote Key Largo [In Situ],,,Blue14,100
,AC,AC76,Mote Key Largo [In Situ],,,Blue05,100
,AC,AC58,Mote Key Largo [In Situ],,,Blue17,100
,AC,AC58,Mote Key Largo [In Situ],,,Blue20,100
,AC,AC5,Mote Key Largo [In Situ],,,Blue10,100
,AC,AC62,Mote Key Largo [In Situ],,,Blue02,100
,AC,AC5,Mote Islamorada [In Situ],,,Red04,100
,AC,AC7,Mote Islamorada [In Situ],,,Red05,100
,AC,AC88,Mote Key Largo [In Situ],,,Blue23,100
,PS,PS23,Mote Looe Key [In Situ],,,PS-23,96
,AC,AC8,Mote Key Largo [In Situ],,,Red01,95
,AC,AC75,Mote Key Largo [In Situ],,,Red02,95
,AC,AC8,Mote Key Largo [In Situ],,,Blue11,95
,AC,AC75,Mote Key Largo [In Situ],,,Blue22,95
,PC,PC52,Mote Summerland,,Unassigned,R12,90
,PC,PC26,Mote Key Largo [In Situ],,,Red01,90
,AC,AC13,Mote Key Largo [In Situ],,,Red02,90
,PC,PC26,Mote Key Largo [In Situ],,,Blue51,90
,AC,AC62,Mote Key Largo [In Situ],,,Blue21,90
,AC,AC13,Mote Key Largo [In Situ],,,Blue12,90
,DL,DL20,Mote Looe Key [In Situ],,,DL-20,89
,PC,PC39,Mote Looe Key [In Situ],,,PC-39,88
,OF,OF775,Mote Summerland,All Summerland,E5,R1126,87
,PC,PC12,Mote Looe Key [In Situ],,,PC-12,87
,AC,AC4,Mote Key Largo [In Situ],,,Blue15,85
,CN,CN7,Mote Looe Key [In Situ],,,CN-7,83
,AC,AC2508,Mote Looe Key [In Situ],,,CU-020,80
,AC,AC2501,Mote Looe Key [In Situ],,,CU-001,80
,MC,MC75,Mote Looe Key [In Situ],,,MC-74,80
,AC,AC2651,Mote Looe Key [In Situ],,,T-DT-1,80
,MC,MC75,Mote Looe Key [In Situ],,,MC-75,80
,AC,AC1,Mote Key Largo [In Situ],,,Red09,80
,AC,AC1,Mote Key Largo [In Situ],,,Blue09,80
,PC,PC16,Mote Summerland,All Summerland,D5,R1180,79
,ASTREOIDES,PA93,Mote Summerland,All Summerland,C6,R1384,79
,OF,OF775,Mote Summerland,All Summerland,E5,R686,79
,OF,OF457,Mote Summerland,All Summerland,A5,R1645,79
,OF,OF457,Mote Summerland,All Summerland,A5,R1645,79
,OF,OF987,Mote Summerland,All Summerland,D5,R735,78
,OF,OF985,Mote Summerland,All Summerland,B2,R1264,78
,PS,PS8,Mote Summerland,All Summerland,D2,R1382,76
,PC,PC46,Mote Key Largo [In Situ],,,Red03,76
,PC,PC46,Mote Key Largo [In Situ],,,Blue93,76
,AC,AC88,Mote Key Largo [In Situ],,,Red03,75
,OF,OF1035,Mote Summerland,All Summerland,A6,R2000,74
,PS,PS13,Mote Summerland,All Summerland,D5,R1494,73
,OF,OF61,Mote Summerland,All Summerland,A5,R975,72
,PS,PS45,Mote Key Largo [In Situ],,,Red04,72
,PS,PS45,Mote Key Largo [In Situ],,,Red04,72
,OF,OF999,Mote Summerland,All Summerland,E1,R942,71
,MC,MC57,Mote Summerland,All Summerland,E1,R1033,71
,PC,PC56,Mote Summerland,All Summerland,F7,R1856,71
,OF,OF187,Mote Looe Key [In Situ],,,OF-187,71
,PA,PA403,Mote Summerland,All Summerland,A1,R1639,71
,OF,OF980,Mote Summerland,All Summerland,A2,R847,71
,ASTREOIDES,PA26,Mote Summerland,All Summerland,C3,R1422,70
,ASTREOIDES,PA50,Mote Summerland,All Summerland,C3,R1096,70
,INTERSEPTA,SI13,Mote Summerland,All Summerland,C3,R1393,70
,PC,PC19,Mote Summerland,All Summerland,E6,R1461,70
,OF,OF773,Mote Summerland,All Summerland,E3,R1560,70
,OF,OF3,Mote Summerland,All Summerland,A6,R1632,70
,INTERSEPTA,SI13,Mote Summerland,All Summerland,C3,R1258,70
,INTERSEPTA,SI13,Mote Summerland,All Summerland,C3,R1127,70
,AC,AC2518,Mote Looe Key [In Situ],,,CU-041,70
,AC,AC77,Mote Looe Key [In Situ],,,77,70
,PC,PC35,Mote Looe Key [In Situ],,,PC-35,70
,MC,MC204,Mote Summerland,All Summerland,A5,R1788,70
,PC,PC41,Mote Summerland,All Summerland,A1,R1707,70
,PS,PS43,Mote Summerland,All Summerland,A1,R1662,70
,OF,OF988,Mote Summerland,All Summerland,A1,R2004,70
,OF,OF993,Mote Summerland,All Summerland,A1,R1968,70
,OF,OF800,Mote Summerland,All Summerland,B5,R1254,70
,PC,PC19,Mote Summerland,All Summerland,B5,R1999,70
,MC,MC106,Mote Summerland,All Summerland,A2,R45,70
,MC,MC204,Mote Key Largo [In Situ],,,Red03,70
,MC,MC204,Mote Key Largo [In Situ],,,Blue93,70
,AC,AC8,Mote Islamorada [In Situ],,,Red06,70
,OF,OF985,Mote Summerland,All Summerland,A4,R1178,70
,AC,AC5,Mote Islamorada [In Situ],,,Red14,69
,OF,OF980,Mote Summerland,All Summerland,H4,R804,69
,OF,OF999,Mote Summerland,All Summerland,E1,R1067,69
,OF,OF999,Mote Summerland,All Summerland,E1,R1117,69
,MC,MC92,Mote Looe Key [In Situ],,,MC MIX3,69
,PS,PS49,Mote Summerland,All Summerland,A1,R73,69
,MC,MC127,Mote Summerland,All Summerland,A4,R1840,69
,PC,PC19,Mote Summerland,All Summerland,B6,R974,69
,PS,PS6,Mote Summerland,All Summerland,C6,R1656,69
,OF,OF61,Mote Summerland,All Summerland,A4,R868,69
,OF,OF976,Mote Summerland,All Summerland,D6,R139,68
,OF,OF979,Mote Summerland,All Summerland,F1,R812,68
,SIDEREA,SS83,Mote Summerland,,Unassigned,R133,68
,MC,MC62,Mote Summerland,All Summerland,E3,R1538,68
,OF,OF697,Mote Summerland,All Summerland,E5,R945,68
,ASTREOIDES,PA86,Mote Summerland,All Summerland,D1,R1744,68
,SIDEREA,SS83,Mote Summerland,All Summerland,C2,ISLA133,68
,PC,PC30,Mote Looe Key [In Situ],,,PC-30,68
,OF,OF995,Mote Summerland,All Summerland,F6,R1184,67
,OF,OF1004,Mote Summerland,All Summerland,B3,R994,67
,PS,PS17,Mote Summerland,All Summerland,D3,R1462,67
,PS,PS6,Mote Summerland,All Summerland,E3,R855,67
,PC,PC31,Mote Looe Key [In Situ],,,PC-31,67
,OF,OF3,Mote Summerland,All Summerland,B5,R1583,67
,PS,PS17,Mote Summerland,All Summerland,B6,R1539,67
,MC,MC60,Mote Summerland,All Summerland,B1,R1949,67
,OF,OF988,Mote Summerland,All Summerland,E4,R758,66
,OF,OF980,Mote Summerland,All Summerland,F5,R854,66
,MC,MC59,Mote Summerland,All Summerland,E3,R1456,66
,OF,OF999,Mote Summerland,All Summerland,E1,R840,65
,PC,PC19,Mote Summerland,All Summerland,E6,R596,65
,ASTREOIDES,PA113,Mote Summerland,All Summerland,C3,R860,65
,MC,MC107,Mote Summerland,All Summerland,F5,R1446,65
,OF,OF328,Mote Summerland,All Summerland,D5,R1423,65
,PC,PC13,Mote Looe Key [In Situ],,,PC-13,65
,PC,PC28,Mote Looe Key [In Situ],,,PC-28,65
,OF,OF61,Mote Summerland,All Summerland,B5,R1673,65
,OF,OF980,Mote Summerland,All Summerland,F4,R1099,65
,DL,DL285,Mote Summerland,All Summerland,B2,R1094,65
,AC,AC58,Mote Key Largo [In Situ],,,Red07,65
,AC,AC5,Mote Key Largo [In Situ],,,Red10,65
,OF,OF977,Mote Summerland,All Summerland,D6,R1091,64
,OF,OF999,Mote Summerland,All Summerland,D3,R1066,64
,OF,OF977,Mote Summerland,All Summerland,C6,R750,64
,PS,PS33,Mote Summerland,All Summerland,F6,R1088,64
,INTERSEPTA,SI13,Mote Summerland,All Summerland,C3,R1389,64
,PS,PS9,Mote Summerland,All Summerland,D3,R1527,64
,PS,PS42,Mote Summerland,All Summerland,F6,R249,64
,PS,PS49,Mote Summerland,All Summerland,F3,R1463,64
,PC,PC19,Mote Looe Key [In Situ],,,PC-19,64
,PC,PC19,Mote Looe Key [In Situ],,,PC-19,64
,OF,OF801,Mote Summerland,All Summerland,A5,R1580,64
,OF,OF999,Mote Summerland,All Summerland,A4,R1037,64
,OF,OF976,Mote Summerland,All Summerland,B3,R238,63
,PC,PC13,Mote Summerland,All Summerland,C3,R1299,63
,PC,PC16,Mote Looe Key [In Situ],,,PC-16,63
,PC,PC33,Mote Looe Key [In Situ],,,PC-33,63
,CN,CN7,Mote Looe Key [In Situ],,,CN-7,63
,DS,DS6,Mote Summerland,All Summerland,A1,R40,63
,OF,OF980,Mote Summerland,All Summerland,H1,R874,62
,OF,OF999,Mote Summerland,All Summerland,D3,R1278,62
,OF,OF999,Mote Summerland,All Summerland,D3,R1071,62
,OF,OF999,Mote Summerland,All Summerland,D3,R1303,62
,OF,OF999,Mote Summerland,All Summerland,D3,R1148,62
,ASTREOIDES,PA50,Mote Summerland,All Summerland,C3,R1003,62
,SIDEREA,SS160,Mote Summerland,All Summerland,C2,R556,62
,INTERSEPTA,SI13,Mote Summerland,All Summerland,C6,R1392,62
,PS,PS49,Mote Summerland,All Summerland,B2,R2016,62
,OF,OF985,Mote Summerland,All Summerland,B2,R814,62
,OF,OF1005,Mote Summerland,All Summerland,A4,R811,62
,OF,OF999,Mote Summerland,All Summerland,E1,R1140,61
,OF,OF999,Mote Summerland,All Summerland,D3,R1000,61
,OF,OF1005,Mote Summerland,All Summerland,B3,R1364,61
,OF,OF1006,Mote Summerland,All Summerland,C2,R1188,61
,MC,MC60,Mote Summerland,All Summerland,A1,R1398,61
,OF,OF773,Mote Summerland,All Summerland,E3,R1548,61
,INTERSEPTA,SI11,Mote Summerland,All Summerland,C1,R4 ,61
,PS,PS49,Mote Summerland,All Summerland,F3,R1114,61
,PS,PS49,Mote Summerland,All Summerland,A6,R1589,61
,PS,PS24,Mote Looe Key [In Situ],,,PS MIX2,61
,PC,PC15,Mote Looe Key [In Situ],,,PC-15,61
,PS,PS1,Mote Summerland,All Summerland,B2,R1204,61
,DL,DL3,Mote Summerland,All Summerland,B2,R515,61
,OF,OF993,Mote Summerland,All Summerland,F7,R1240,61
,OF,OF671,Mote Summerland,All Summerland,B6,R1391,61
,OF,OF994,Mote Summerland,All Summerland,B6,R303,61
,OF,OF1002,Mote Summerland,All Summerland,B6,R668,61
,OF,OF980,Mote Summerland,All Summerland,F1,R806,60
,OF,OF977,Mote Summerland,All Summerland,D5,R693,60
,ASTREOIDES,PA129,Mote Summerland,All Summerland,C5,R827,60
,ASTREOIDES,PA129,Mote Summerland,All Summerland,C4,R599,60
,ASTREOIDES,PA129,Mote Summerland,All Summerland,C4,R801,60
,ASTREOIDES,PA129,Mote Summerland,All Summerland,C4,R1073,60
,OF,OF1005,Mote Summerland,All Summerland,E4,R449,60
,OF,OF1004,Mote Summerland,All Summerland,E4,R1432,60
,PC,PC19,Mote Summerland,All Summerland,D3,R1558,60
,INTERSEPTA,SI13,Mote Summerland,All Summerland,C1,R5,60
,INTERSEPTA,SI13,Mote Summerland,All Summerland,C4,R8,60
,PS,PS50,Mote Summerland,All Summerland,D1,R1027,60
,OF,OF1035,Mote Summerland,All Summerland,D1,R1624,60
,SIDEREA,SS40,Mote Summerland,,Unassigned,R108,60
,OF,OF999,Mote Summerland,All Summerland,E1,R1142,60
,AC,AC2528,Mote Looe Key [In Situ],,,CU-076,60
,DL,DL17,Mote Looe Key [In Situ],,,DL MIX1,60
,AC,AC94,Mote Looe Key [In Situ],,,94,60
,PC,PC32,Mote Looe Key [In Situ],,,PC-32,60
,AC,AC725,Mote Looe Key [In Situ],,,725,60
,PC,PC19,Mote Summerland,All Summerland,B5,R1018,60
,DL,DL3,Mote Summerland,All Summerland,B2,R1671,60
,OF,OF993,Mote Summerland,All Summerland,B2,R1800,60
,MC,MC59,Mote Summerland,All Summerland,B1,R1551,60
,AC,AC51,Mote Key Largo [In Situ],,,Blue29,60
,PA,PA406,Mote Summerland,All Summerland,A2,R1678,60
,OF,OF999,Mote Summerland,All Summerland,D3,R856,60
,OF,OF999,Mote Summerland,All Summerland,D3,R1168,60
,AC,AC51,Mote Key Largo [In Situ],,,Red09,60
,OF,OF977,Mote Summerland,All Summerland,D6,R864,59
,ASTREOIDES,PA129,Mote Summerland,All Summerland,G9,R1145,59
,ASTREOIDES,PA107,Mote Summerland,All Summerland,G9,R215,59
,OF,OF977,Mote Summerland,All Summerland,E4,R703,59
,INTERSEPTA,SI12,Mote Summerland,All Summerland,C4,R1020,59
,ASTREOIDES,PA129,Mote Summerland,All Summerland,C5,R458,59
,PS,PS9,Mote Summerland,All Summerland,E1,R1454,59
,INTERSEPTA,SI13,Mote Summerland,All Summerland,C5,R17,59
,DL,DL190,Mote Summerland,All Summerland,D1,R404,59
,OF,OF1035,Mote Summerland,All Summerland,D2,R1658,59
,CN,CN12,Mote Looe Key [In Situ],,,CN-12,59
,OF,OF985,Mote Summerland,All Summerland,F5,R1313,59
,MC,MC107,Mote Summerland,All Summerland,C1,R888,59
,OF,OF701,Mote Summerland,All Summerland,A2,R1315,59
,OF,OF1005,Mote Summerland,All Summerland,F3,R1070,58
,OF,OF977,Mote Summerland,All Summerland,D5,R1083,58
,MC,MC112,Mote Summerland,All Summerland,C6,R1373,58
,OF,OF977,Mote Summerland,All Summerland,B3,R601,58
,ASTREOIDES,PA129,Mote Summerland,All Summerland,C5,R849,58
,INTERSEPTA,SI11,Mote Summerland,All Summerland,C4,R327,58
,OF,OF987,Mote Summerland,All Summerland,F1,R908,58
,MC,MC112,Mote Summerland,All Summerland,F5,R1388,58
,INTERSEPTA,SI11,Mote Summerland,All Summerland,E3,R621,58
,OF,OF983,Mote Summerland,All Summerland,F5,R1947,58
,PS,PS49,Mote Summerland,All Summerland,A6,R1603,58
,AC,AC47,Mote Looe Key [In Situ],,,47,58
,PC,PC55,Mote Summerland,All Summerland,F6,R1547,58
,OF,OF980,Mote Summerland,All Summerland,F1,R107,57
,OF,OF677,Mote Summerland,All Summerland,E5,R881,57
,OF,OF61,Mote Summerland,All Summerland,A6,R1630,57
,OF,OF924,Mote Looe Key [In Situ],,,OF-924,57
,MC,MC111,Mote Summerland,All Summerland,F4,R1411,57
,OF,OF947,Mote Islamorada [In Situ],,,Blue05,57
,OF,OF1034,Mote Islamorada [In Situ],,,Red82,57
,OF,OF982,Mote Summerland,All Summerland,C6,R1298,56
,PC,PC19,Mote Summerland,All Summerland,F4,R1221,56
,OF,OF995,Mote Summerland,All Summerland,Q10,R365,56
,SIDEREA,SS160,Mote Summerland,All Summerland,C2,R870,56
,INTERSEPTA,SI32,Mote Summerland,All Summerland,D1,R749,56
,FRANKSI,OK1,Mote Summerland,All Summerland,A6,R1623,56
,MC,MC206,Mote Summerland,All Summerland,B2,R1203,56
,DL,DL183,Mote Summerland,All Summerland,B6,R1253,56
,INTERSEPTA,SI11,Mote Summerland,All Summerland,C5,R1139,56
,OF,OF999,Mote Summerland,All Summerland,D3,R969,56
,SB,SB13,Mote Summerland,All Summerland,A4,R6,56
,OF,OF980,Mote Summerland,All Summerland,E6,R1026,55
,OF,OF686,Mote Summerland,All Summerland,D5,R223,55
,OF,OF999,Mote Summerland,All Summerland,C2,R1209,55
,OF,OF1006,Mote Summerland,All Summerland,D2,R121,55
,OF,OF985,Mote Summerland,All Summerland,D3,R420,55
,OF,OF1004,Mote Summerland,All Summerland,C5,R402,55
,ASTREOIDES,PA129,Mote Summerland,All Summerland,C4,R1004,55
,OF,OF995,Mote Summerland,All Summerland,E1,R1243,55
,ASTREOIDES,PA64,Mote Summerland,All Summerland,C3,R1255,55
,PC,PC50,Mote Key Largo [In Situ],,,Red03,55
,PC,PC50,Mote Key Largo [In Situ],,,Red03,55
,OF,OF982,Mote Summerland,All Summerland,C6,R1041,54
,OF,OF1006,Mote Summerland,All Summerland,E6,R123,54
,OF,OF976,Mote Summerland,All Summerland,F6,R1081,54
,OF,OF1006,Mote Summerland,All Summerland,E6,R999,54
,OF,OF977,Mote Summerland,All Summerland,F6,R320,54
,ASTREOIDES,PA112,Mote Summerland,All Summerland,D4,R268,54
,FRANKSI,OK1,Mote Summerland,All Summerland,A6,R1964,54
,MC,MC205,Mote Summerland,All Summerland,E5,R923,54
,PC,PC26,Mote Key Largo [In Situ],,,Red04,54
,PC,PC26,Mote Key Largo [In Situ],,,Blue94,54
,DL,DL7,Mote Summerland,All Summerland,F6,R1128,53
,OF,OF983,Mote Summerland,All Summerland,F5,R180,53
,INTERSEPTA,SI3,Mote Summerland,All Summerland,D2,R715,53
,OF,OF775,Mote Summerland,All Summerland,E5,R252,53
,DL,DL211,Mote Summerland,All Summerland,D2,R1581,53
,AC,AC38,Mote Looe Key [In Situ],,,38,53
,PS,PS35,Mote Summerland,All Summerland,A5,R1062,53
,OF,OF1043,Mote Summerland,All Summerland,E5,R869,53
,MC,MC205,Mote Summerland,All Summerland,E5,R473,53
,OF,OF993,Mote Summerland,All Summerland,F7,R732,53
,OF,OF990,Mote Summerland,All Summerland,F5,R163,52
,OF,OF990,Mote Summerland,All Summerland,B3,R57,52
,ASTREOIDES,PA129,Mote Summerland,All Summerland,C5,R792,52
,INTERSEPTA,SI12,Mote Summerland,All Summerland,C5,R589,52
,INTERSEPTA,SI11,Mote Summerland,All Summerland,C2,R1610,52
,PS,PS20,Mote Summerland,All Summerland,F1,R1710,52
,DL,DL166,Mote Summerland,All Summerland,F1,R1942,52
,OF,OF801,Mote Looe Key [In Situ],,,OF MIX4,52
,OF,OF96,Mote Summerland,All Summerland,E3,R1480,52
,PS,PS6,Mote Summerland,All Summerland,B6,R1403,52
,AC,AC58,Mote Islamorada [In Situ],,,Red10,52
,OF,OF100,Mote Summerland,All Summerland,D2,R1618,51
,ASTREOIDES,PA47,Mote Summerland,All Summerland,G9,R1226,51
,INTERSEPTA,SI12,Mote Summerland,All Summerland,C4,R612,51
,ASTREOIDES,PA130,Mote Summerland,All Summerland,C4,R233,51
,DL,DL3,Mote Summerland,All Summerland,C3,R694,51
,OF,OF978,Mote Summerland,All Summerland,E4,R1436,51
,OF,OF675,Mote Summerland,All Summerland,E5,R872,51
,MC,MC94,Mote Looe Key [In Situ],,,MC-75,51
,MC,MC94,Mote Looe Key [In Situ],,,MC-94,51
,DL,DL3,Mote Summerland,All Summerland,B2,R1136,51
,ASTREOIDES,PA86,Mote Summerland,All Summerland,A2,R438,51
,OF,OF1002,Mote Summerland,All Summerland,F6,R668,50
,CN,CN80,Mote Summerland,All Summerland,F1,R363,50
,PD,PD?,Mote Summerland,All Summerland,E6,R90,50
,ASTREOIDES,PA103,Mote Summerland,All Summerland,D4,R544,50
,PS,PS50,Mote Summerland,All Summerland,D1,R1534,50
,PS,PS37,Mote Summerland,All Summerland,E6,R87,50
,AC,AC2502,Mote Looe Key [In Situ],,,CU-002,50
,AC,AC2516,Mote Looe Key [In Situ],,,CU-038,50
,AC,AC2515,Mote Looe Key [In Situ],,,CU-036,50
,PS,PS17,Mote Looe Key [In Situ],,,PS MIX1,50
,AC,AC1,Mote Looe Key [In Situ],,,1,50
,AC,AC55,Mote Looe Key [In Situ],,,55,50
,AC,AC84,Mote Looe Key [In Situ],,,84,50
,AC,AC76,Mote Looe Key [In Situ],,,76,50
,AC,AC95,Mote Looe Key [In Situ],,,95,50
,PC,PC18,Mote Looe Key [In Situ],,,PC-18,50
,AC,AC2516,Mote Sand Key [In Situ],,,CU-038,50
,DL,DL201,Mote Summerland,All Summerland,F4,R714,50
,OF,OF993,Mote Summerland,All Summerland,B5,R1637,50
,OF,OF983,Mote Summerland,All Summerland,B1,R762,50
,OF,OF983,Mote Summerland,All Summerland,B1,R845,50
,OF,OF983,Mote Summerland,All Summerland,B1,R845,50
,OF,OF1042,Mote Summerland,All Summerland,A4,R300,50
,AC,AC62,Mote Key Largo [In Situ],,,Red05,50
,AC,AC62,Mote Key Largo [In Situ],,,Blue25,50
,OF,OF976,Mote Summerland,All Summerland,E6,R1015,49
,OF,OF976,Mote Summerland,All Summerland,F7,R1357,49
,OF,OF995,Mote Summerland,All Summerland,B3,R862,49
,PS,PS33,Mote Summerland,All Summerland,F3,R1069,49
,OF,OF75,Mote Summerland,All Summerland,D1,R519,49
,FRANKSI,OK1,Mote Summerland,All Summerland,A6,R1625,49
,OF,OF1005,Mote Summerland,All Summerland,F3,R961,49
,OF,OF1002,Mote Summerland,All Summerland,B6,R1495,49
,OF,OF999,Mote Summerland,All Summerland,D3,R1266,49
,ASTREOIDES,PA104,Mote Summerland,All Summerland,C1,R993,48
,PC,PC19,Mote Summerland,All Summerland,E4,R566,48
,OF,OF1006,Mote Summerland,All Summerland,B3,R972,48
,OF,OF977,Mote Summerland,All Summerland,C1,R1300,48
,OF,OF977,Mote Summerland,All Summerland,E6,R1186,48
,OF,OF1041,Mote Summerland,All Summerland,C2,ISLA120,48
,PC,PC18,Mote Summerland,All Summerland,D3,R1455,48
,OF,OF686,Mote Summerland,All Summerland,D5,R1192,48
,PS,PS22,Mote Looe Key [In Situ],,,PS-22,48
,AC,AC6,Mote Looe Key [In Situ],,,6,48
,CN,CN8,Mote Looe Key [In Situ],,,CN MIX1,48
,MC,MC72,Mote Looe Key [In Situ],,,MC-72,48
,PS,PS36,Mote Summerland,All Summerland,D4,R829,48
,PS,PS10,Mote Summerland,All Summerland,B5,R1657,48
,ASTREOIDES,PA71,Mote Summerland,All Summerland,D1,R1728,48
,OF,OF985,Mote Summerland,All Summerland,B2,R220,48
,OF,OF991,Mote Summerland,All Summerland,C2,R902,47
,OF,OF999,Mote Summerland,All Summerland,E3,R1380,47
,MC,MC112,Mote Summerland,All Summerland,C6,R350,47
,OF,OF995,Mote Summerland,All Summerland,B3,R353,47
,OF,OF996,Mote Summerland,All Summerland,E4,R788,47
,OF,OF993,Mote Summerland,All Summerland,F7,R1247,47
,MC,MC111,Mote Summerland,All Summerland,F4,R1397,47
,PS,PS6,Mote Summerland,All Summerland,E3,R755,47
,MC,MC203,Mote Summerland,All Summerland,E5,R1064,47
,PC,PC61,Mote Summerland,All Summerland,A6,R1900,47
,MC,MC71,Mote Looe Key [In Situ],,,MC-71,47
,PS,PS32,Mote Summerland,All Summerland,A1,R1491,47
,PS,PS49,Mote Summerland,All Summerland,A1,R1967,47
,DL,DL185,Mote Summerland,All Summerland,C1,R1919,46
,DL,DL21,Mote Looe Key [In Situ],,,DL-21,46
,DL,DL23,Mote Looe Key [In Situ],,,DL-23,46
,DL,DL256,Mote Looe Key [In Situ],,,DL MIX2,46
,PC,PC34,Mote Looe Key [In Situ],,,PC-34,46
,AC,AC0,Mote Looe Key [In Situ],,,UNK,46
,PC,PC18,Mote Summerland,All Summerland,E1,R1526,45
,PS,PS17,Mote Summerland,All Summerland,E1,R1470,45
,MC,MC203,Mote Summerland,All Summerland,E5,R1135,45
,OF,OF774,Mote Summerland,All Summerland,A6,R1579,45
,OF,OF773,Mote Summerland,All Summerland,A6,R1043,45
,PS,PS1,Mote Looe Key [In Situ],,,PS-1,45
,PS,PS4,Mote Looe Key [In Situ],,,PS-4,45
,DL,DL3,Mote Looe Key [In Situ],,,DL-3,45
,INTERSEPTA,SI12,Mote Summerland,All Summerland,C5,R48,45
,OF,OF1002,Mote Summerland,All Summerland,A4,R1655,45
,AC,AC58,Mote Key Largo [In Situ],,,Red01,45
,AC,AC58,Mote Key Largo [In Situ],,,Blue01,45
,OF,OF1004,Mote Summerland,All Summerland,E1,R819,44
,INTERSEPTA,SI25,Mote Summerland,All Summerland,D4,R1234,44
,RADIANS,SR259,Mote Summerland,All Summerland,D2,R1533,44
,ASTREOIDES,PA70,Mote Summerland,All Summerland,H6,R285,44
,,PA,Mote Summerland,All Summerland,G9,R1181,44
,PS,PS29,Mote Looe Key [In Situ],,,PS MIX2,44
,DL,DL199,Mote Summerland,All Summerland,B5,R1716,44
,OF,OF976,Mote Summerland,All Summerland,E6,R481,43
,OF,OF987,Mote Summerland,All Summerland,C2,R1331,43
,INTERSEPTA,SI12,Mote Summerland,All Summerland,C5,R996,43
,INTERSEPTA,SI12,Mote Summerland,All Summerland,C5,R662,43
,OF,OF976,Mote Summerland,All Summerland,E1,R1172,43
,OF,OF996,Mote Summerland,All Summerland,E6,R297,43
,INTERSEPTA,SI72,Mote Summerland,All Summerland,D4,R956,43
,MC,MC11,Mote Looe Key [In Situ],,,MC-11,43
,OF,OF993,Mote Summerland,All Summerland,A1,R1807,43
,OF,OF981,Mote Summerland,All Summerland,D4,R1235,43
,AC,AC50,Mote Key Largo [In Situ],,,Blue03,43
,INTERSEPTA,SI12,Mote Summerland,All Summerland,C5,R903,42
,PS,PS6,Mote Summerland,All Summerland,D5,R125,42
,OF,OF328,Mote Summerland,All Summerland,C4,R1169,42
,MC,MC62,Mote Summerland,All Summerland,E3,R1566,42
,OF,OF773,Mote Summerland,All Summerland,D1,R1660,42
,SIDEREA,SS40,Mote Summerland,All Summerland,C2,ISLA108,42
,PS,PS25,Mote Looe Key [In Situ],,,PS-25,42
,PC,PC40,Mote Looe Key [In Situ],,,PC-40,42
,OF,OF1,Mote Summerland,All Summerland,B5,R1134,42
,OF,OF1,Mote Summerland,All Summerland,B5,R1288,42
